L01 Customer Name (Key)	L01 Branch Key	L01 Document no. Key	Balance
MEDICAL CENTER OF CENTRAL GA 340B	100245622	0802958206	6.58
MEDICAL CENTER OF CENTRAL GA 340B	100245622	0802999782	6.58
MEDICAL CENTER OF CENTRAL GA 340B	100245622	0803023311	6.58
MEDICAL CENTER OF CENTRAL GA 340B	100245622	0803036009	6.58
MEDICAL CENTER OF CENTRAL GA 340B	100245622	0803094671	6.58
MEDICAL CENTER OF CENTRAL GA 340B	100245622	1600384788	531.03
COUNTY OF TILLAMOOK	100189271	0802939010	-86.19
COUNTY OF TILLAMOOK	100189271	0803108970	-72.8
SUTTER HEALTH	100190135	0678064952	-133.93
GRACE MED CTR INC	100208875	0802836765	44.88
GRACE MED CTR INC	100208875	0802853306	12.82
GRACE MED CTR INC	100208875	0802870312	70.52
GRACE MED CTR INC	100208875	0802884381	89.76
GRACE MED CTR INC	100208875	0802905431	89.76
GRACE MED CTR INC	100208875	0802917330	89.76
GRACE MED CTR INC	100208875	0802927963	102.58
GRACE MED CTR INC	100208875	0802930791	134.64
GRACE MED CTR INC	100208875	0802959403	185.93
GRACE MED CTR INC	100208875	0802960544	134.64
GRACE MED CTR INC	100208875	0802961320	134.64
GRACE MED CTR INC	100208875	0802991405	179.52
GRACE MED CTR INC	100208875	0802992302	179.52
GRACE MED CTR INC	100208875	0803011562	179.52
GRACE MED CTR INC	100208875	0803018298	179.52
GRACE MED CTR INC	100208875	0803038410	179.52
GRACE MED CTR INC	100208875	0803039313	179.52
GRACE MED CTR INC	100208875	0803063353	179.52
GRACE MED CTR INC	100208875	0803066157	134.64
GRACE MED CTR INC	100208875	0803068519	134.64
GRACE MED CTR INC	100208875	0803088528	134.64
GRACE MED CTR INC	100208875	0803095551	134.64
GRACE MED CTR INC	100208875	0803100033	134.64
GRACE MED CTR INC	100208875	0803103329	134.64
GRACE MED CTR INC	100208875	0803133325	134.64
GRACE MED CTR INC	100208875	0803141312	134.64
GRACE MED CTR INC	100208875	0803155944	128.23
GRACE MED CTR INC	100208875	0803165936	89.76
GRACE MED CTR INC	100208875	3052592947	13000
GRACE MED CTR INC	100208875	3054710618	13000
SSM HLT GOOD SAMARITAN HOS	100209343	0802905470	20.72
SSM HLT GOOD SAMARITAN HOS	100209343	0802917363	72.52
SSM HLT GOOD SAMARITAN HOS	100209343	0802928033	72.52
SSM HLT GOOD SAMARITAN HOS	100209343	0802930830	72.52
SSM HLT GOOD SAMARITAN HOS	100209343	0802959435	72.52
SSM HLT GOOD SAMARITAN HOS	100209343	0802960580	72.52
SSM HLT GOOD SAMARITAN HOS	100209343	0802961358	72.52
SSM HLT GOOD SAMARITAN HOS	100209343	0802991434	72.52
SSM HLT GOOD SAMARITAN HOS	100209343	0802992333	72.52
SSM HLT GOOD SAMARITAN HOS	100209343	0803011589	72.52
SSM HLT GOOD SAMARITAN HOS	100209343	0803018327	72.52
SSM HLT GOOD SAMARITAN HOS	100209343	0803038435	72.52
SSM HLT GOOD SAMARITAN HOS	100209343	0803039340	72.52
SSM HLT GOOD SAMARITAN HOS	100209343	0982029825	21008
RICHARDSON MED CTR	100209369	0802917365	43.08
RICHARDSON MED CTR	100209369	0802928036	43.08
RICHARDSON MED CTR	100209369	0803018329	89.24
HOSP PAVIA YAUCO	100270228	0803135059	9.74
HOSP PAVIA YAUCO	100270228	0803168748	11.28
HOSP PAVIA YAUCO	100270228	3065834528	2080
HOSP PAVIA YAUCO	100270228	3066873075	2080
CHOCTAW GENERAL HOSPITAL	100289017	0342703350	-2317.72
CHOCTAW GENERAL HOSPITAL	100289017	0677946238	-93.35
CHOCTAW GENERAL HOSPITAL	100289017	0677970428	-777.14
CHOCTAW GENERAL HOSPITAL	100289017	0677974978	-418.02
CHOCTAW GENERAL HOSPITAL	100289017	0677995473	-1364.09
CHOCTAW GENERAL HOSPITAL	100289017	0678025223	-104.12
CHOCTAW GENERAL HOSPITAL	100289017	0803045376	104.12
CHOCTAW GENERAL HOSPITAL	100289017	0803136273	24.92
CHOCTAW GENERAL HOSPITAL	100289017	0803154686	14.91
CHOCTAW GENERAL HOSPITAL	100289017	0803164971	27.73
CHOCTAW GENERAL HOSPITAL	100289017	0803168988	23.11
RUSH MED FOUNDATION DBA	100289038	0803045380	89.76
RUSH MED FOUNDATION DBA	100289038	0803075934	89.76
RUSH MED FOUNDATION DBA	100289038	0803136276	51.3
RUSH MED FOUNDATION DBA	100289038	0803154690	25.64
RUSH MED FOUNDATION DBA	100289038	0803168991	20.52
RUSH MED FOUNDATION DBA	100289038	3066540989	10400
NOXUBEE GEN HSP	100289260	0677921809	-3120
NOXUBEE GEN HSP	100289260	0803118841	12.31
NOXUBEE GEN HSP	100289260	0803136288	52.31
NOXUBEE GEN HSP	100289260	0803154699	106.16
NOXUBEE GEN HSP	100289260	0803164988	129.24
NOXUBEE GEN HSP	100289260	0803169003	129.24
NOXUBEE GEN HSP	100289260	3063705108	15600
NOXUBEE GEN HSP	100289260	3064558517	9360
NOXUBEE GEN HSP	100289260	3065138970	15600
MIAMI COUNTY MED CTR	100289440	0802965506	35.9
MIAMI COUNTY MED CTR	100289440	0802974301	35.9
MIAMI COUNTY MED CTR	100289440	0802980886	35.9
MIAMI COUNTY MED CTR	100289440	0802996432	35.9
MIAMI COUNTY MED CTR	100289440	0803001206	35.9
MIAMI COUNTY MED CTR	100289440	0803021702	35.9
MIAMI COUNTY MED CTR	100289440	0803025576	35.9
MIAMI COUNTY MED CTR	100289440	0803042118	25.64
THE HOSP AT WESTLAKE MED CTR	100289549	0802852940	9.24
THE HOSP AT WESTLAKE MED CTR	100289549	0802858562	32.31
THE HOSP AT WESTLAKE MED CTR	100289549	0802871542	32.31
THE HOSP AT WESTLAKE MED CTR	100289549	0802885926	32.31
THE HOSP AT WESTLAKE MED CTR	100289549	0802913219	32.31
THE HOSP AT WESTLAKE MED CTR	100289549	0802920690	32.31
THE HOSP AT WESTLAKE MED CTR	100289549	0802936215	32.31
THE HOSP AT WESTLAKE MED CTR	100289549	0802945728	35.02
THE HOSP AT WESTLAKE MED CTR	100289549	0802965511	37.05
THE HOSP AT WESTLAKE MED CTR	100289549	0802974309	37.05
THE HOSP AT WESTLAKE MED CTR	100289549	0802980891	37.05
THE HOSP AT WESTLAKE MED CTR	100289549	0802996440	37.05
THE HOSP AT WESTLAKE MED CTR	100289549	0803001211	37.05
THE HOSP AT WESTLAKE MED CTR	100289549	0803021709	37.05
THE HOSP AT WESTLAKE MED CTR	100289549	0803025582	37.05
THE HOSP AT WESTLAKE MED CTR	100289549	0803042124	37.05
THE HOSP AT WESTLAKE MED CTR	100289549	0803045402	37.05
THE HOSP AT WESTLAKE MED CTR	100289549	0803066970	37.05
THE HOSP AT WESTLAKE MED CTR	100289549	0803075959	37.05
THE HOSP AT WESTLAKE MED CTR	100289549	0803083473	37.05
THE HOSP AT WESTLAKE MED CTR	100289549	0803097713	37.05
THE HOSP AT WESTLAKE MED CTR	100289549	0803107276	37.05
THE HOSP AT WESTLAKE MED CTR	100289549	0803115820	49.36
THE HOSP AT WESTLAKE MED CTR	100289549	0803118857	58.59
THE HOSP AT WESTLAKE MED CTR	100289549	0803136308	58.59
THE HOSP AT WESTLAKE MED CTR	100289549	0803154719	64.74
THE HOSP AT WESTLAKE MED CTR	100289549	0803165006	84.82
THE HOSP AT WESTLAKE MED CTR	100289549	0803169023	100.65
THE HOSP AT WESTLAKE MED CTR	100289549	0985439741	3120
THE HOSP AT WESTLAKE MED CTR	100289549	0985806065	3120
THE HOSP AT WESTLAKE MED CTR	100289549	0985985928	3120
THE HOSP AT WESTLAKE MED CTR	100289549	3050067952	1372.35
THE HOSP AT WESTLAKE MED CTR	100289549	3062866239	6240
THE HOSP AT WESTLAKE MED CTR	100289549	3065344423	6240
THE HOSP AT WESTLAKE MED CTR	100289549	3065820470	2378.4
THE HOSP AT WESTLAKE MED CTR	100289549	3066537102	6240
THE HOSP AT WESTLAKE MED CTR	100289549	3066882764	2378.4
HENRY COUNTY HOSP INC	100289571	0802980896	21.54
HENRY COUNTY HOSP INC	100289571	0802996445	21.54
HENRY COUNTY HOSP INC	100289571	0803001216	21.54
HENRY COUNTY HOSP INC	100289571	0803021714	21.54
HENRY COUNTY HOSP INC	100289571	0803025587	21.54
HENRY COUNTY HOSP INC	100289571	0803042129	21.54
HENRY COUNTY HOSP INC	100289571	0803045407	21.54
HENRY COUNTY HOSP INC	100289571	0803066975	21.54
HENRY COUNTY HOSP INC	100289571	0803075962	12.31
ARH OUR LADY OF THE WAY HOSP	100291248	0678077429	5200
ARH OUR LADY OF THE WAY HOSP	100291248	0803002299	68.21
ARH OUR LADY OF THE WAY HOSP	100291248	0803076030	68.21
ARH OUR LADY OF THE WAY HOSP	100291248	0803083536	68.21
ARH OUR LADY OF THE WAY HOSP	100291248	3068010505	6300
ARH OUR LADY OF THE WAY HOSP	100291248	3068170548	14700
STEWARD MED GRP INC	100291251	0802853014	25.1
STEWARD MED GRP INC	100291251	0802858646	87.83
STEWARD MED GRP INC	100291251	0802871631	87.83
STEWARD MED GRP INC	100291251	0802886011	87.83
STEWARD MED GRP INC	100291251	0802913379	87.83
STEWARD MED GRP INC	100291251	0802920787	87.83
STEWARD MED GRP INC	100291251	0802936331	87.83
STEWARD MED GRP INC	100291251	0802945841	87.83
STEWARD MED GRP INC	100291251	0802965614	87.83
STEWARD MED GRP INC	100291251	0802974404	87.83
STEWARD MED GRP INC	100291251	0802980983	87.83
STEWARD MED GRP INC	100291251	0802996529	87.83
STEWARD MED GRP INC	100291251	0803002300	87.83
STEWARD MED GRP INC	100291251	0803021788	87.83
STEWARD MED GRP INC	100291251	0803025653	87.83
STEWARD MED GRP INC	100291251	0803042197	114.88
STEWARD MED GRP INC	100291251	0803045474	182.52
STEWARD MED GRP INC	100291251	0803067044	182.52
STEWARD MED GRP INC	100291251	0803076031	182.52
STEWARD MED GRP INC	100291251	0803083537	182.52
STEWARD MED GRP INC	100291251	0803097774	182.52
STEWARD MED GRP INC	100291251	0803107327	182.52
STEWARD MED GRP INC	100291251	0803115877	182.52
STEWARD MED GRP INC	100291251	0803118914	182.52
STEWARD MED GRP INC	100291251	0803136382	182.52
STEWARD MED GRP INC	100291251	0803154793	182.52
STEWARD MED GRP INC	100291251	0803165080	182.52
STEWARD MED GRP INC	100291251	0803169091	182.52
STEWARD MED GRP INC	100291251	1600151324	25443.85
STEWARD MED GRP INC	100291251	3052986326	27430.2
NILOUFER S DENNIS MD	100295748	0803025684	10.49
ELY BLOOMENSON HSP PHCY	100295798	0677064037	224.64
ELY BLOOMENSON HSP PHCY	100295798	0677064038	224.64
ELY BLOOMENSON HSP PHCY	100295798	0677064041	224.64
ELY BLOOMENSON HSP PHCY	100295798	0677064043	112.32
ELY BLOOMENSON HSP PHCY	100295798	0677395476	224.64
ELY BLOOMENSON HSP PHCY	100295798	0802871675	7.97
ELY BLOOMENSON HSP PHCY	100295798	0802913431	48.75
ELY BLOOMENSON HSP PHCY	100295798	0802920826	40.06
ELY BLOOMENSON HSP PHCY	100295798	0802936376	40.06
ELY BLOOMENSON HSP PHCY	100295798	0802945886	40.06
ELY BLOOMENSON HSP PHCY	100295798	0802965651	40.06
ELY BLOOMENSON HSP PHCY	100295798	0802974437	40.06
ELY BLOOMENSON HSP PHCY	100295798	0802981020	40.06
ELY BLOOMENSON HSP PHCY	100295798	0802996569	40.06
ELY BLOOMENSON HSP PHCY	100295798	0803002335	40.06
ELY BLOOMENSON HSP PHCY	100295798	0803021823	40.06
ELY BLOOMENSON HSP PHCY	100295798	0803025686	40.06
ELY BLOOMENSON HSP PHCY	100295798	0803042228	40.06
ELY BLOOMENSON HSP PHCY	100295798	0803045506	40.06
ELY BLOOMENSON HSP PHCY	100295798	0803067074	40.06
ELY BLOOMENSON HSP PHCY	100295798	0803076055	40.06
ELY BLOOMENSON HSP PHCY	100295798	0803083570	40.06
ELY BLOOMENSON HSP PHCY	100295798	0803097807	40.06
ELY BLOOMENSON HSP PHCY	100295798	0803107357	40.06
ELY BLOOMENSON HSP PHCY	100295798	0803115905	40.06
ELY BLOOMENSON HSP PHCY	100295798	0803118949	40.06
ELY BLOOMENSON HSP PHCY	100295798	0803136413	40.06
ELY BLOOMENSON HSP PHCY	100295798	0803154821	40.06
ELY BLOOMENSON HSP PHCY	100295798	0803165115	40.06
ELY BLOOMENSON HSP PHCY	100295798	0803169129	40.06
ELY BLOOMENSON HSP PHCY	100295798	3050756203	10587.2
ELY BLOOMENSON HSP PHCY	100295798	3067998598	21378
ELY BLOOMENSON HSP PHCY	100295798	3069435300	5293.6
ELY BLOOMENSON HSP PHCY	100295798	3069435301	5293.6
ENDLESS MOUNTAINS HLTH SYS PHARM	100296338	0802945908	51.39
ENDLESS MOUNTAINS HLTH SYS PHARM	100296338	0802965694	56.52
ENDLESS MOUNTAINS HLTH SYS PHARM	100296338	0802974470	41.82
ENDLESS MOUNTAINS HLTH SYS PHARM	100296338	0802981053	25.64
ENDLESS MOUNTAINS HLTH SYS PHARM	100296338	3068313114	12480
ENDLESS MOUNTAINS HLTH SYS PHARM	100296338	3069853483	9360
HOPE DIALYSIS CENTER	100302715	0803136562	46.59
HOPE DIALYSIS CENTER	100302715	0803154943	43.79
HOPE DIALYSIS CENTER	100302715	0803165230	25.02
HOPE DIALYSIS CENTER	100302715	3069851699	15570
EMORY UNIVERSITY	100113073	3068086674	0.78
EMORY UNIVERSITY	100113073	3068086675	4.07
EMORY UNIVERSITY	100113073	3068379554	0.79
EMORY UNIVERSITY	100113073	3068806932	11.58
EMORY UNIVERSITY	100113073	3070067042	17.46
EMORY UNIVERSITY	100113075	3068093121	6.52
EMORY UNIVERSITY	100113075	3068093122	2.82
EMORY UNIVERSITY	100113075	3068379775	1.62
EMORY UNIVERSITY	100113075	3068661434	4.45
EMORY UNIVERSITY	100113075	3068853835	356.66
EMORY UNIVERSITY	100113075	3070060554	7.42
EMORY UNIVERSITY	100113077	3068092744	6.59
EMORY UNIVERSITY	100113077	3068092745	190.94
EMORY UNIVERSITY	100113077	3068379756	60.77
EMORY UNIVERSITY	100113077	3069364771	8.4
EMORY UNIVERSITY	100113077	3069517132	0.41
EMORY UNIVERSITY	100113077	3069556148	3.76
EMORY UNIVERSITY	100113077	3069926147	15.11
EMORY UNIVERSITY	100113077	3070067799	23.28
EMORY UNIVERSITY	100113079	3068098236	1.09
EMORY UNIVERSITY	100113079	3068098237	14.59
EMORY UNIVERSITY	100113079	3068396650	12.64
EMORY UNIVERSITY	100113079	3068526964	3.46
EMORY UNIVERSITY	100113079	3068816135	1.33
EMORY UNIVERSITY	100113079	3068816136	11.58
EMORY UNIVERSITY	100113079	3068958194	13.91
EMORY UNIVERSITY	100113079	3069369844	7.45
EMORY UNIVERSITY	100113079	3069940020	0.62
EMORY UNIVERSITY	100113080	3068087408	4.07
EMORY UNIVERSITY	100113080	3068668851	12.64
EMORY UNIVERSITY	100113080	3068806328	2.78
EMORY UNIVERSITY	100113080	3070359473	2.08
EMORY UNIVERSITY	100113080	3070497684	8.87
EMORY UNIVERSITY	100113082	3068087641	3.6
EMORY UNIVERSITY	100113082	3068087642	4.07
EMORY UNIVERSITY	100113082	3068396128	10.59
EMORY UNIVERSITY	100113082	3068811222	13.66
EMORY UNIVERSITY	100113082	3070067982	24.51
EMORY UNIVERSITY	100113082	3070361267	8.96
EMORY UNIVERSITY	100113088	3067791657	2.77
EMORY UNIVERSITY	100113088	3068098742	0.51
EMORY UNIVERSITY	100113088	3068098743	50.77
EMORY UNIVERSITY	100113088	3068098744	4.12
EMORY UNIVERSITY	100113088	3068662235	4.45
EMORY UNIVERSITY	100113088	3068811880	1.39
EMORY UNIVERSITY	100113088	3068958442	4.45
EMORY UNIVERSITY	100113088	3070055800	28.1
EMORY UNIVERSITY	100113088	3070348865	4.47
EMORY UNIVERSITY	100113088	3070348866	4.12
EMORY UNIVERSITY	100113089	3067801879	26.81
EMORY UNIVERSITY	100113089	3068099098	2.62
EMORY UNIVERSITY	100113089	3068099099	25.76
EMORY UNIVERSITY	100113089	3068383682	9.32
EMORY UNIVERSITY	100113089	3068937379	8.52
EMORY UNIVERSITY	100113089	3069344290	10.59
EMORY UNIVERSITY	100113089	3069952656	0.62
EMORY UNIVERSITY	100113090	3068093543	1.35
EMORY UNIVERSITY	100113090	3068093544	34.94
EMORY UNIVERSITY	100113090	3068379715	100.91
EMORY UNIVERSITY	100113090	3068526856	11.85
EMORY UNIVERSITY	100113090	3068660972	53.34
EMORY UNIVERSITY	100113090	3068806806	10.59
EMORY UNIVERSITY	100113090	3068948128	5.6
EMORY UNIVERSITY	100113090	3070361515	36.31
EMORY UNIVERSITY	100113095	3068651372	4.17
EMORY UNIVERSITY	100113095	3068816294	0.29
EMORY UNIVERSITY	100113095	3068947145	4.45
EMORY UNIVERSITY	100113096	3068137476	1.84
EMORY UNIVERSITY	100113096	3068372452	5.64
EMORY UNIVERSITY	100113096	3068645632	1.87
EMORY UNIVERSITY	100113096	3070046896	4.47
EMORY UNIVERSITY	100113097	3068098034	1.09
EMORY UNIVERSITY	100113097	3068098035	10.59
EMORY UNIVERSITY	100113097	3068516206	39
EMORY UNIVERSITY	100113097	3068805582	4.02
EMORY UNIVERSITY	100113097	3068947547	15.66
EMORY UNIVERSITY	100113097	3069523241	0.41
EMORY UNIVERSITY	100113097	3069555726	13.33
EMORY UNIVERSITY	100113097	3069927323	15.11
EMORY UNIVERSITY	100113097	3070055747	32.24
EMORY UNIVERSITY	100113097	3070210895	7.98
EMORY UNIVERSITY	100113100	3068087391	1.09
EMORY UNIVERSITY	100113100	3068087392	11.15
EMORY UNIVERSITY	100113100	3068239960	3.46
EMORY UNIVERSITY	100113100	3068390450	8.88
EMORY UNIVERSITY	100113100	3068668495	4.45
EMORY UNIVERSITY	100113100	3068811754	129.78
EMORY UNIVERSITY	100113100	3068854602	11.88
EMORY UNIVERSITY	100113100	3068947289	32.16
EMORY UNIVERSITY	100113100	3069354114	7.45
EMORY UNIVERSITY	100113100	3069939129	0.62
EMORY UNIVERSITY	100113100	3070056381	12.21
EMORY UNIVERSITY	100113101	3068088081	0.56
EMORY UNIVERSITY	100113101	3068382366	5.64
EMORY UNIVERSITY	100113101	3068854612	43.31
EMORY UNIVERSITY	100113104	3068098259	0.04
EMORY UNIVERSITY	100113104	3068098790	34.94
EMORY UNIVERSITY	100113104	3068379418	8.22
EMORY UNIVERSITY	100113104	3069090001	1.6
EMORY UNIVERSITY	100113104	3069355116	2.66
EMORY UNIVERSITY	100113107	0803147580	5.27
EMORY UNIVERSITY	100113107	3068061782	1.09
EMORY UNIVERSITY	100113107	3068061783	77.77
EMORY UNIVERSITY	100113107	3068408118	10.53
EMORY UNIVERSITY	100113107	3068975445	43.59
EMORY UNIVERSITY	100113107	3069383023	7.45
EMORY UNIVERSITY	100113107	3069483803	2.83
EMORY UNIVERSITY	100113107	3069556706	28.8
EMORY UNIVERSITY	100113107	3069680291	156.07
EMORY UNIVERSITY	100113107	3069817878	0.95
EMORY UNIVERSITY	100113107	3069953395	28.27
EMORY UNIVERSITY	100113107	3070085958	36
EMORY UNIVERSITY	100113107	3070123769	5415.32
EMORY UNIVERSITY	100113110	3068062223	148
